experiment,variable,value,prompt,seed,clip_score,gen_time_sec,image_path
exp2_steps,steps,10,a cozy cabin in a snowy forest,123,0.6556,4.59,results\exp2_steps_steps_10_seed123_a_cozy_cabin_in_a_sn.png
exp2_steps,steps,10,a cozy cabin in a snowy forest,999,0.6582,4.79,results\exp2_steps_steps_10_seed999_a_cozy_cabin_in_a_sn.png
exp2_steps,steps,15,a majestic lion in the savanna at sunset,42,0.6692,6.95,results\exp2_steps_steps_15_seed42_a_majestic_lion_in_t.png
exp2_steps,steps,15,a majestic lion in the savanna at sunset,123,0.6541,6.75,results\exp2_steps_steps_15_seed123_a_majestic_lion_in_t.png
exp2_steps,steps,15,a majestic lion in the savanna at sunset,999,0.6701,6.99,results\exp2_steps_steps_15_seed999_a_majestic_lion_in_t.png
exp2_steps,steps,15,a futuristic city skyline with flying cars,42,0.6596,6.99,results\exp2_steps_steps_15_seed42_a_futuristic_city_sk.png
exp2_steps,steps,15,a futuristic city skyline with flying cars,123,0.6687,6.76,results\exp2_steps_steps_15_seed123_a_futuristic_city_sk.png
exp2_steps,steps,15,a futuristic city skyline with flying cars,999,0.6663,7.0,results\exp2_steps_steps_15_seed999_a_futuristic_city_sk.png
exp2_steps,steps,15,a cozy cabin in a snowy forest,42,0.652,6.96,results\exp2_steps_steps_15_seed42_a_cozy_cabin_in_a_sn.png
exp2_steps,steps,15,a cozy cabin in a snowy forest,123,0.653,6.12,results\exp2_steps_steps_15_seed123_a_cozy_cabin_in_a_sn.png
exp2_steps,steps,15,a cozy cabin in a snowy forest,999,0.657,6.76,results\exp2_steps_steps_15_seed999_a_cozy_cabin_in_a_sn.png
exp2_steps,steps,20,a majestic lion in the savanna at sunset,42,0.6691,8.98,results\exp2_steps_steps_20_seed42_a_majestic_lion_in_t.png
exp2_steps,steps,20,a majestic lion in the savanna at sunset,123,0.6571,8.89,results\exp2_steps_steps_20_seed123_a_majestic_lion_in_t.png
exp2_steps,steps,20,a majestic lion in the savanna at sunset,999,0.6729,8.98,results\exp2_steps_steps_20_seed999_a_majestic_lion_in_t.png
exp2_steps,steps,20,a futuristic city skyline with flying cars,42,0.6632,8.91,results\exp2_steps_steps_20_seed42_a_futuristic_city_sk.png
exp2_steps,steps,20,a futuristic city skyline with flying cars,123,0.6676,9.01,results\exp2_steps_steps_20_seed123_a_futuristic_city_sk.png
exp2_steps,steps,20,a futuristic city skyline with flying cars,999,0.6589,9.02,results\exp2_steps_steps_20_seed999_a_futuristic_city_sk.png
exp2_steps,steps,20,a cozy cabin in a snowy forest,42,0.6516,8.87,results\exp2_steps_steps_20_seed42_a_cozy_cabin_in_a_sn.png
exp2_steps,steps,20,a cozy cabin in a snowy forest,123,0.6487,9.04,results\exp2_steps_steps_20_seed123_a_cozy_cabin_in_a_sn.png
exp2_steps,steps,20,a cozy cabin in a snowy forest,999,0.6573,8.92,results\exp2_steps_steps_20_seed999_a_cozy_cabin_in_a_sn.png
exp2_steps,steps,30,a majestic lion in the savanna at sunset,42,0.6703,13.49,results\exp2_steps_steps_30_seed42_a_majestic_lion_in_t.png
exp2_steps,steps,30,a majestic lion in the savanna at sunset,123,0.655,13.35,results\exp2_steps_steps_30_seed123_a_majestic_lion_in_t.png
exp2_steps,steps,30,a majestic lion in the savanna at sunset,999,0.6736,13.52,results\exp2_steps_steps_30_seed999_a_majestic_lion_in_t.png
exp2_steps,steps,30,a futuristic city skyline with flying cars,42,0.663,13.44,results\exp2_steps_steps_30_seed42_a_futuristic_city_sk.png
exp2_steps,steps,30,a futuristic city skyline with flying cars,123,0.6657,13.36,results\exp2_steps_steps_30_seed123_a_futuristic_city_sk.png
exp2_steps,steps,30,a futuristic city skyline with flying cars,999,0.6642,13.51,results\exp2_steps_steps_30_seed999_a_futuristic_city_sk.png
exp2_steps,steps,30,a cozy cabin in a snowy forest,42,0.6557,13.4,results\exp2_steps_steps_30_seed42_a_cozy_cabin_in_a_sn.png
exp2_steps,steps,30,a cozy cabin in a snowy forest,123,0.6493,13.37,results\exp2_steps_steps_30_seed123_a_cozy_cabin_in_a_sn.png
exp2_steps,steps,30,a cozy cabin in a snowy forest,999,0.6599,13.54,results\exp2_steps_steps_30_seed999_a_cozy_cabin_in_a_sn.png
exp2_steps,steps,50,a majestic lion in the savanna at sunset,42,0.6704,22.13,results\exp2_steps_steps_50_seed42_a_majestic_lion_in_t.png
exp2_steps,steps,50,a majestic lion in the savanna at sunset,123,0.6502,23.52,results\exp2_steps_steps_50_seed123_a_majestic_lion_in_t.png
exp2_steps,steps,50,a majestic lion in the savanna at sunset,999,0.6719,24.42,results\exp2_steps_steps_50_seed999_a_majestic_lion_in_t.png
exp2_steps,steps,50,a futuristic city skyline with flying cars,42,0.6623,24.18,results\exp2_steps_steps_50_seed42_a_futuristic_city_sk.png
exp2_steps,steps,50,a futuristic city skyline with flying cars,123,0.6668,23.56,results\exp2_steps_steps_50_seed123_a_futuristic_city_sk.png
exp2_steps,steps,50,a futuristic city skyline with flying cars,999,0.6673,23.54,results\exp2_steps_steps_50_seed999_a_futuristic_city_sk.png
